Full Name,Date of Birth,Nationality,Gender,Marital Status,Occupation,Employer,Years with Employer,Residential Address,Phone Number,Email,Account Type,Account Number,Currency,Annual Salary (CHF),Monthly Rental Income (CHF),Total Assets (CHF),Total Deposits (CHF),Total Withdrawals (CHF),Active Loans,Banking Products Used,Source of Wealth,Investment Knowledge,Investment Objective,Risk Profile,Compliance Notes,PEP Status,Sanctions Check,AML Risk,Geographical Risk,bu_name,pc_segment,client portfolio,RM,Story of Wealth,Affluence
David Mcdonald,1959-11-17,CH,Female,Widowed,International aid/development worker,Shaffer-George,7,"63238 Perry Tunnel Apt. 929, Debrachester, MS 54736",988.778.4048x59275,stephen78@example.net,Savings and Investment,SBRQ01369256643776,CHF,102091.12,71.4,1202420.88,255650.76,101867.4,2,"['Checking Account', 'Savings Account', 'Investment Account']","Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Aggressive Growth,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,Yes,Cleared,High,Medium,SG,RM serviced PB,"[{'Stock': 'GOOGL', 'Shares Owned': 109, 'Allocation (%)': 5.42}, {'Stock': 'SPY', 'Shares Owned': 66, 'Allocation (%)': 43.8}, {'Stock': 'CAT', 'Shares Owned': 116, 'Allocation (%)': 19.92}, {'Stock': 'BASF', 'Shares Owned': 317, 'Allocation (%)': 17.86}, {'Stock': 'Novartis', 'Shares Owned': 208, 'Allocation (%)': 4.59}, {'Stock': 'GLD', 'Shares Owned': 201, 'Allocation (%)': 2.53}, {'Stock': 'USO', 'Shares Owned': 222, 'Allocation (%)': 2.24}, {'Stock': 'NVDA', 'Shares Owned': 371, 'Allocation (%)': 1.45}, {'Stock': 'Allianz', 'Shares Owned': 270, 'Allocation (%)': 1.1}, {'Stock': 'ARKK', 'Shares Owned': 87, 'Allocation (%)': 1.0900000000000003}]",Arthur Elliott, ran a quant hedge fund and lives quietly by the sea.,Affluent
Christopher Harris MD,1986-08-15,CH,Male,Widowed,Engineering geologist,Mccormick LLC,30,"USNS Davenport, FPO AA 26138",926-700-0164,kelsey80@example.com,Savings,WJXT95258125472833,CHF,105038.92,4802.84,1236208.04,135186.04,148371.92,3,"['Checking Account', 'Savings Account']","Salary, Real Estate, Capital Gains","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Income Generation,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,Low,LU,EAM,"[{'Stock': 'META', 'Shares Owned': 328, 'Allocation (%)': 27.51}, {'Stock': 'NEE', 'Shares Owned': 25, 'Allocation (%)': 50.73}, {'Stock': 'GOOGL', 'Shares Owned': 57, 'Allocation (%)': 14.39}, {'Stock': 'CAT', 'Shares Owned': 108, 'Allocation (%)': 1.36}, {'Stock': 'ARKF', 'Shares Owned': 119, 'Allocation (%)': 1.01}, {'Stock': 'LVMH', 'Shares Owned': 97, 'Allocation (%)': 1.0}, {'Stock': 'AGG', 'Shares Owned': 374, 'Allocation (%)': 1.0}, {'Stock': 'AMZN', 'Shares Owned': 202, 'Allocation (%)': 1.0}, {'Stock': 'Volkswagen', 'Shares Owned': 120, 'Allocation (%)': 1.0}, {'Stock': 'ETH', 'Shares Owned': 497, 'Allocation (%)': 0.9999999999999973}]",Cynthia Baker, built a fintech startup and became a mentor.,Affluent
Martin Lewis Jr.,1986-01-31,CH,Male,Widowed,Commercial/residential surveyor,Martin and Sons,12,"524 Ward Forest, Gillburgh, UT 63153",001-446-214-2060,emilyanderson@example.org,Savings,CHHI60514608477579,CHF,101800.76,2793.44,144164.76,317492.0,128233.04,3,['Savings Account'],"Inheritance, Savings, Salary",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Capital Preservation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,High,Medium,CH,RM serviced PB,"[{'Stock': 'AGG', 'Shares Owned': 271, 'Allocation (%)': 49.25}, {'Stock': 'SLV', 'Shares Owned': 242, 'Allocation (%)': 28.97}, {'Stock': 'ARKF', 'Shares Owned': 422, 'Allocation (%)': 2.34}, {'Stock': 'TSLA', 'Shares Owned': 419, 'Allocation (%)': 8.79}, {'Stock': 'Siemens', 'Shares Owned': 441, 'Allocation (%)': 1.36}, {'Stock': 'TIP', 'Shares Owned': 388, 'Allocation (%)': 1.54}, {'Stock': 'AMZN', 'Shares Owned': 299, 'Allocation (%)': 2.88}, {'Stock': 'CAT', 'Shares Owned': 389, 'Allocation (%)': 1.77}, {'Stock': 'LVMH', 'Shares Owned': 356, 'Allocation (%)': 2.08}, {'Stock': 'NFLX', 'Shares Owned': 256, 'Allocation (%)': 1.0200000000000027}]",Arthur Elliott, ran a quant hedge fund and became a mentor.,UHNWI
Jeffrey Burnett,1959-11-25,CH,Female,Single,Charity fundraiser,Wiley-Moore,9,"21487 Thomas Gateway Suite 843, East Cindytown, MP 87143",532.475.7748,aaron94@example.org,Savings,YJSW80298199817887,CHF,113341.04,5892.88,1153193.64,151610.08,107455.64,0,"['Checking Account', 'Savings Account']","Salary, Rental Income, Stock Investments",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Aggressive Growth,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Medium,High,LU,Com. & Retail,"[{'Stock': 'ARKQ', 'Shares Owned': 43, 'Allocation (%)': 70.39}, {'Stock': 'TIP', 'Shares Owned': 387, 'Allocation (%)': 6.41}, {'Stock': 'AAPL', 'Shares Owned': 165, 'Allocation (%)': 7.59}, {'Stock': 'ARKK', 'Shares Owned': 163, 'Allocation (%)': 9.38}, {'Stock': 'INTC', 'Shares Owned': 102, 'Allocation (%)': 1.03}, {'Stock': 'AGG', 'Shares Owned': 489, 'Allocation (%)': 1.14}, {'Stock': 'SLV', 'Shares Owned': 40, 'Allocation (%)': 1.05}, {'Stock': 'SOL', 'Shares Owned': 412, 'Allocation (%)': 1.0}, {'Stock': 'ARKF', 'Shares Owned': 445, 'Allocation (%)': 1.01}, {'Stock': 'ADBE', 'Shares Owned': 123, 'Allocation (%)': 0.9999999999999989}]",Cynthia Baker, ran a quant hedge fund but lost it all in a crash.,UHNWI
Sharon Reed,1995-10-17,CH,Female,Divorced,Press photographer,"Sharp, Martin and Smith",12,"526 William Shoals Apt. 143, New Joshuaton, TN 35524",+1-946-490-3355x6432,rodneycurry@example.net,Savings,KNNU47001486615785,CHF,89254.76,4570.96,659652.36,267044.16,245727.52,2,"['Savings Account', 'Investment Account']","Business Income, Investments","Client has extensive experience investing in equities, bonds, ETFs, and mutual funds. Demonstrates strong understanding of portfolio diversification and risk management techniques. Has previously invested in alternative assets such as real estate funds and structured products.",Capital Preservation,"Client assessed as low-to-medium risk. Domestic income and salary align with monthly transactions, but moderate exposure to alternative investments noted.",Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,Low,Medium,LU,EAM,"[{'Stock': 'XOM', 'Shares Owned': 303, 'Allocation (%)': 38.47}, {'Stock': 'NEE', 'Shares Owned': 67, 'Allocation (%)': 4.49}, {'Stock': 'NVDA', 'Shares Owned': 454, 'Allocation (%)': 27.36}, {'Stock': 'NFLX', 'Shares Owned': 328, 'Allocation (%)': 2.77}, {'Stock': 'VTI', 'Shares Owned': 473, 'Allocation (%)': 13.04}, {'Stock': 'ARKK', 'Shares Owned': 45, 'Allocation (%)': 1.23}, {'Stock': 'ARKQ', 'Shares Owned': 102, 'Allocation (%)': 1.19}, {'Stock': 'SLV', 'Shares Owned': 56, 'Allocation (%)': 5.69}, {'Stock': 'EEM', 'Shares Owned': 351, 'Allocation (%)': 4.02}, {'Stock': 'QQQ', 'Shares Owned': 38, 'Allocation (%)': 1.740000000000001}]",Cynthia Baker, built a fintech startup and achieved financial independence.,Affluent
Rebecca Davidson,1997-03-22,DE,Female,Widowed,Radiation protection practitioner,Vazquez-Taylor,15,"0073 Arthur Parkways Suite 790, North Bruce, OK 62513",224-401-3626x495,clarenceali@example.org,Checking,KXJH06779694127227,CHF,129735.84,1740.12,244680.32,198252.64,229774.04,0,['Savings Account'],"Business Income, Investments","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Aggressive Growth,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,Verification of ID documents and employment completed. Tax residency confirmed. Client is not on any sanctions or PEP lists. AML monitoring recommended due to international investment exposure.,No,Cleared,Low,High,BVI,EAM,"[{'Stock': 'ARKG', 'Shares Owned': 340, 'Allocation (%)': 36.45}, {'Stock': 'GE', 'Shares Owned': 354, 'Allocation (%)': 22.59}, {'Stock': 'NFLX', 'Shares Owned': 315, 'Allocation (%)': 26.06}, {'Stock': 'Siemens', 'Shares Owned': 498, 'Allocation (%)': 5.48}, {'Stock': 'ARKK', 'Shares Owned': 395, 'Allocation (%)': 2.69}, {'Stock': 'LVMH', 'Shares Owned': 40, 'Allocation (%)': 1.07}, {'Stock': 'Volkswagen', 'Shares Owned': 252, 'Allocation (%)': 2.47}, {'Stock': 'SOL', 'Shares Owned': 253, 'Allocation (%)': 1.01}, {'Stock': 'EFA', 'Shares Owned': 61, 'Allocation (%)': 1.08}, {'Stock': 'Allianz', 'Shares Owned': 275, 'Allocation (%)': 1.0999999999999943}]",Arthur Elliott, focused on real estate and retired early.,Non-Affluent
Victoria Lewis,1986-12-27,CH,Male,Widowed,Warden/ranger,"Newton, Rowe and Paul",9,"563 Jason Crescent, Port Jesseview, AS 70149",+1-757-890-6745x0349,zmontgomery@example.com,Savings and Investment,FDKD63438428623214,CHF,55062.32,4053.48,530133.44,89948.36,85212.16,3,['Savings Account'],"Inheritance, Savings, Salary",Client possesses practical experience in stock markets and ETFs. Has some knowledge of portfolio rebalancing and tax-efficient investment strategies.,Income Generation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,All identification documents verified. Employment and income confirmed via supporting documents. PEP check cleared. Sanctions screening completed. AML risk is low. No discrepancies found during due diligence.,Yes,Cleared,High,High,SG,RM serviced PB,"[{'Stock': 'ARKF', 'Shares Owned': 308, 'Allocation (%)': 83.23}, {'Stock': 'Allianz', 'Shares Owned': 427, 'Allocation (%)': 5.16}, {'Stock': 'LVMH', 'Shares Owned': 375, 'Allocation (%)': 2.69}, {'Stock': 'META', 'Shares Owned': 325, 'Allocation (%)': 1.72}, {'Stock': 'ARKG', 'Shares Owned': 198, 'Allocation (%)': 1.47}, {'Stock': 'Siemens', 'Shares Owned': 41, 'Allocation (%)': 1.3}, {'Stock': 'EEM', 'Shares Owned': 235, 'Allocation (%)': 1.02}, {'Stock': 'AGG', 'Shares Owned': 256, 'Allocation (%)': 1.01}, {'Stock': 'QQQ', 'Shares Owned': 260, 'Allocation (%)': 1.37}, {'Stock': 'INTC', 'Shares Owned': 303, 'Allocation (%)': 1.0299999999999967}]",Cynthia Baker, launched a coffee chain and keeps growing steadily.,UHNWI
Stacey Harris,1976-10-14,DE,Male,Married,Proofreader,Solis LLC,19,"419 Mary Haven Apt. 254, Jonesborough, AL 18504",+1-489-997-1087,murphybrian@example.com,Savings and Investment,HQSA84976840112712,CHF,92259.68,859.52,1253772.44,227245.12,84706.92,1,"['Savings Account', 'Investment Account']","Salary, Rental Income, Stock Investments","Client has moderate knowledge of financial markets, primarily investing in mutual funds and fixed income securities. Familiar with basic risk-return tradeoffs and market volatility, but prefers conservative investment strategies.",Moderate Growth,Client assessed as medium-risk. Some international investments noted. Transactions slightly higher than expected for profile but consistent with disclosed sources of wealth.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,Medium,Low,LI,Com. & Retail,"[{'Stock': 'ARKQ', 'Shares Owned': 67, 'Allocation (%)': 64.3}, {'Stock': 'VTI', 'Shares Owned': 101, 'Allocation (%)': 7.45}, {'Stock': 'NEE', 'Shares Owned': 431, 'Allocation (%)': 4.48}, {'Stock': 'BTC', 'Shares Owned': 220, 'Allocation (%)': 11.63}, {'Stock': 'BASF', 'Shares Owned': 454, 'Allocation (%)': 6.73}, {'Stock': 'EFA', 'Shares Owned': 262, 'Allocation (%)': 1.06}, {'Stock': 'USO', 'Shares Owned': 374, 'Allocation (%)': 1.13}, {'Stock': 'SLV', 'Shares Owned': 130, 'Allocation (%)': 1.05}, {'Stock': 'GE', 'Shares Owned': 50, 'Allocation (%)': 1.1}, {'Stock': 'ADA', 'Shares Owned': 133, 'Allocation (%)': 1.0700000000000016}]",Arthur Elliott, focused on real estate and became a mentor.,UHNWI
Thomas Bruce,1993-12-18,LI,Male,Single,Adult nurse,Avery-Wilkinson,23,"96274 Shaw Cape Suite 822, Joseville, LA 14314",001-605-639-9383,friedmanthomas@example.org,Savings and Investment,PFKZ47068943618813,CHF,104401.08,2127.04,315574.4,108913.56,91236.28,0,"['Checking Account', 'Savings Account']","Salary, Rental Income, Stock Investments","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Capital Preservation,Client assessed as high-risk due to high-value international transactions and exposure to high-volatility assets. Requires enhanced monitoring and periodic review.,"Documents partially verified. Further verification of employment and income recommended. PEP check cleared, but client flagged for high-value international transactions. Periodic compliance review required.",Yes,Cleared,High,Low,BVI,RM serviced PB,"[{'Stock': 'ADBE', 'Shares Owned': 377, 'Allocation (%)': 45.17}, {'Stock': 'XOM', 'Shares Owned': 102, 'Allocation (%)': 40.21}, {'Stock': 'GLD', 'Shares Owned': 14, 'Allocation (%)': 7.34}, {'Stock': 'META', 'Shares Owned': 368, 'Allocation (%)': 1.01}, {'Stock': 'AGG', 'Shares Owned': 54, 'Allocation (%)': 1.14}, {'Stock': 'SPY', 'Shares Owned': 66, 'Allocation (%)': 1.06}, {'Stock': 'NVDA', 'Shares Owned': 236, 'Allocation (%)': 1.0}, {'Stock': 'CAT', 'Shares Owned': 489, 'Allocation (%)': 1.05}, {'Stock': 'BA', 'Shares Owned': 38, 'Allocation (%)': 1.01}, {'Stock': 'GOOGL', 'Shares Owned': 471, 'Allocation (%)': 1.0099999999999987}]",Arthur Elliott, ran a quant hedge fund and lives quietly by the sea.,Non-Affluent
Samuel Anthony,1997-11-12,LI,Male,Divorced,Geochemist,"Ortiz, Smith and Hamilton",1,"35588 Marshall Estate, West Keithfort, NH 56860",962-844-8422x10476,schroedergeorge@example.net,Checking,YGSM32540043574708,CHF,131627.6,3479.56,828430.4,83201.4,113581.08,1,"['Checking Account', 'Savings Account', 'Investment Account']","Salary, Real Estate, Capital Gains","Client is highly knowledgeable about derivatives, structured products, and alternative investment vehicles. Experience includes cryptocurrency investments and international equities. Understands hedging and leverage strategies.",Capital Preservation,Client assessed as low-risk. Transaction behavior is consistent with reported income. No history of suspicious activity. Domestic and regulated international income sources only.,Full KYC verification completed. Risk assessment and AML checks cleared. Client demonstrates transparency in source of funds and investment objectives.,Yes,Cleared,High,High,LU,EAM,"[{'Stock': 'ARKK', 'Shares Owned': 463, 'Allocation (%)': 46.13}, {'Stock': 'SAP', 'Shares Owned': 332, 'Allocation (%)': 11.88}, {'Stock': 'INTC', 'Shares Owned': 245, 'Allocation (%)': 14.83}, {'Stock': 'AGG', 'Shares Owned': 235, 'Allocation (%)': 4.9}, {'Stock': 'EFA', 'Shares Owned': 210, 'Allocation (%)': 14.61}, {'Stock': 'CAT', 'Shares Owned': 384, 'Allocation (%)': 1.24}, {'Stock': 'ADA', 'Shares Owned': 82, 'Allocation (%)': 2.71}, {'Stock': 'BA', 'Shares Owned': 441, 'Allocation (%)': 1.45}, {'Stock': 'Allianz', 'Shares Owned': 486, 'Allocation (%)': 1.01}, {'Stock': 'Novartis', 'Shares Owned': 11, 'Allocation (%)': 1.2399999999999982}]",Mary Greene, bet big on crypto and retired early.,UHNWI
